key,sourceKind,sex,visualRace,age,style,lineage,row,column,relativePath,sourceSheet,imageWidth,imageHeight
rw-guest-custom01-r03-a30,guest,Female,black,30,custom01,guest-custom01-row-03,3,4,assets/ravenwood/portraits/guest/guest_female_black_age30_custom01_r03_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,352
rw-guest-custom01-r03-a50,guest,Female,black,50,custom01,guest-custom01-row-03,3,5,assets/ravenwood/portraits/guest/guest_female_black_age50_custom01_r03_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,352
rw-guest-custom01-r04-a10,guest,Male,eastern,10,custom01,guest-custom01-row-04,4,1,assets/ravenwood/portraits/guest/guest_male_eastern_age10_custom01_r04_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r04-a16,guest,Male,eastern,16,custom01,guest-custom01-row-04,4,2,assets/ravenwood/portraits/guest/guest_male_eastern_age16_custom01_r04_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r04-a24,guest,Male,eastern,24,custom01,guest-custom01-row-04,4,3,assets/ravenwood/portraits/guest/guest_male_eastern_age24_custom01_r04_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,195,353
rw-guest-custom01-r04-a30,guest,Male,eastern,30,custom01,guest-custom01-row-04,4,4,assets/ravenwood/portraits/guest/guest_male_eastern_age30_custom01_r04_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r04-a50,guest,Male,eastern,50,custom01,guest-custom01-row-04,4,5,assets/ravenwood/portraits/guest/guest_male_eastern_age50_custom01_r04_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom02-r01-a10,guest,Female,fair,10,custom02,guest-custom02-row-01,1,1,assets/ravenwood/portraits/guest/guest_female_fair_age10_custom02_r01_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,387
rw-guest-custom02-r01-a16,guest,Female,fair,16,custom02,guest-custom02-row-01,1,2,assets/ravenwood/portraits/guest/guest_female_fair_age16_custom02_r01_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,178,387
rw-guest-custom02-r01-a24,guest,Female,fair,24,custom02,guest-custom02-row-01,1,3,assets/ravenwood/portraits/guest/guest_female_fair_age24_custom02_r01_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,387
rw-guest-custom02-r01-a30,guest,Female,fair,30,custom02,guest-custom02-row-01,1,4,assets/ravenwood/portraits/guest/guest_female_fair_age30_custom02_r01_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,178,387
rw-guest-custom02-r01-a50,guest,Female,fair,50,custom02,guest-custom02-row-01,1,5,assets/ravenwood/portraits/guest/guest_female_fair_age50_custom02_r01_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,387
rw-guest-custom02-r02-a10,guest,Male,olive,10,custom02,guest-custom02-row-02,2,1,assets/ravenwood/portraits/guest/guest_male_olive_age10_custom02_r02_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom02-r02-a16,guest,Male,olive,16,custom02,guest-custom02-row-02,2,2,assets/ravenwood/portraits/guest/guest_male_olive_age16_custom02_r02_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,178,386
rw-guest-custom02-r02-a24,guest,Male,olive,24,custom02,guest-custom02-row-02,2,3,assets/ravenwood/portraits/guest/guest_male_olive_age24_custom02_r02_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom02-r02-a30,guest,Male,olive,30,custom02,guest-custom02-row-02,2,4,assets/ravenwood/portraits/guest/guest_male_olive_age30_custom02_r02_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,178,386
rw-guest-custom02-r02-a50,guest,Male,olive,50,custom02,guest-custom02-row-02,2,5,assets/ravenwood/portraits/guest/guest_male_olive_age50_custom02_r02_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom02-r03-a10,guest,Female,black,10,custom02,guest-custom02-row-03,3,1,assets/ravenwood/portraits/guest/guest_female_black_age10_custom02_r03_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom02-r03-a16,guest,Female,black,16,custom02,guest-custom02-row-03,3,2,assets/ravenwood/portraits/guest/guest_female_black_age16_custom02_r03_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,178,386
rw-guest-custom02-r03-a24,guest,Female,black,24,custom02,guest-custom02-row-03,3,3,assets/ravenwood/portraits/guest/guest_female_black_age24_custom02_r03_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom02-r03-a30,guest,Female,black,30,custom02,guest-custom02-row-03,3,4,assets/ravenwood/portraits/guest/guest_female_black_age30_custom02_r03_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,178,386
rw-guest-custom02-r03-a50,guest,Female,black,50,custom02,guest-custom02-row-03,3,5,assets/ravenwood/portraits/guest/guest_female_black_age50_custom02_r03_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom02-r04-a10,guest,Male,eastern,10,custom02,guest-custom02-row-04,4,1,assets/ravenwood/portraits/guest/guest_male_eastern_age10_custom02_r04_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom02-r04-a16,guest,Male,eastern,16,custom02,guest-custom02-row-04,4,2,assets/ravenwood/portraits/guest/guest_male_eastern_age16_custom02_r04_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,178,386
rw-guest-custom02-r04-a24,guest,Male,eastern,24,custom02,guest-custom02-row-04,4,3,assets/ravenwood/portraits/guest/guest_male_eastern_age24_custom02_r04_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom02-r04-a30,guest,Male,eastern,30,custom02,guest-custom02-row-04,4,4,assets/ravenwood/portraits/guest/guest_male_eastern_age30_custom02_r04_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,178,386
rw-guest-custom02-r04-a50,guest,Male,eastern,50,custom02,guest-custom02-row-04,4,5,assets/ravenwood/portraits/guest/guest_male_eastern_age50_custom02_r04_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_48_26.png,177,386
rw-guest-custom03-r01-a10,guest,Female,fair,10,custom03,guest-custom03-row-01,1,1,assets/ravenwood/portraits/guest/guest_female_fair_age10_custom03_r01_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r01-a16,guest,Female,fair,16,custom03,guest-custom03-row-01,1,2,assets/ravenwood/portraits/guest/guest_female_fair_age16_custom03_r01_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r01-a24,guest,Female,fair,24,custom03,guest-custom03-row-01,1,3,assets/ravenwood/portraits/guest/guest_female_fair_age24_custom03_r01_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,204,335
rw-guest-custom03-r01-a30,guest,Female,fair,30,custom03,guest-custom03-row-01,1,4,assets/ravenwood/portraits/guest/guest_female_fair_age30_custom03_r01_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r01-a50,guest,Female,fair,50,custom03,guest-custom03-row-01,1,5,assets/ravenwood/portraits/guest/guest_female_fair_age50_custom03_r01_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r02-a10,guest,Male,olive,10,custom03,guest-custom03-row-02,2,1,assets/ravenwood/portraits/guest/guest_male_olive_age10_custom03_r02_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r02-a16,guest,Male,olive,16,custom03,guest-custom03-row-02,2,2,assets/ravenwood/portraits/guest/guest_male_olive_age16_custom03_r02_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r02-a24,guest,Male,olive,24,custom03,guest-custom03-row-02,2,3,assets/ravenwood/portraits/guest/guest_male_olive_age24_custom03_r02_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,204,335
rw-guest-custom03-r02-a30,guest,Male,olive,30,custom03,guest-custom03-row-02,2,4,assets/ravenwood/portraits/guest/guest_male_olive_age30_custom03_r02_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r02-a50,guest,Male,olive,50,custom03,guest-custom03-row-02,2,5,assets/ravenwood/portraits/guest/guest_male_olive_age50_custom03_r02_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r03-a10,guest,Female,black,10,custom03,guest-custom03-row-03,3,1,assets/ravenwood/portraits/guest/guest_female_black_age10_custom03_r03_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r03-a16,guest,Female,black,16,custom03,guest-custom03-row-03,3,2,assets/ravenwood/portraits/guest/guest_female_black_age16_custom03_r03_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r03-a24,guest,Female,black,24,custom03,guest-custom03-row-03,3,3,assets/ravenwood/portraits/guest/guest_female_black_age24_custom03_r03_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,204,335
rw-guest-custom03-r03-a30,guest,Female,black,30,custom03,guest-custom03-row-03,3,4,assets/ravenwood/portraits/guest/guest_female_black_age30_custom03_r03_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r03-a50,guest,Female,black,50,custom03,guest-custom03-row-03,3,5,assets/ravenwood/portraits/guest/guest_female_black_age50_custom03_r03_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r04-a10,guest,Male,eastern,10,custom03,guest-custom03-row-04,4,1,assets/ravenwood/portraits/guest/guest_male_eastern_age10_custom03_r04_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r04-a16,guest,Male,eastern,16,custom03,guest-custom03-row-04,4,2,assets/ravenwood/portraits/guest/guest_male_eastern_age16_custom03_r04_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r04-a24,guest,Male,eastern,24,custom03,guest-custom03-row-04,4,3,assets/ravenwood/portraits/guest/guest_male_eastern_age24_custom03_r04_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,204,335
rw-guest-custom03-r04-a30,guest,Male,eastern,30,custom03,guest-custom03-row-04,4,4,assets/ravenwood/portraits/guest/guest_male_eastern_age30_custom03_r04_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom03-r04-a50,guest,Male,eastern,50,custom03,guest-custom03-row-04,4,5,assets/ravenwood/portraits/guest/guest_male_eastern_age50_custom03_r04_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_28 (1).png,205,335
rw-guest-custom04-r01-a10,guest,Female,fair,10,custom04,guest-custom04-row-01,1,1,assets/ravenwood/portraits/guest/guest_female_fair_age10_custom04_r01_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r01-a16,guest,Female,fair,16,custom04,guest-custom04-row-01,1,2,assets/ravenwood/portraits/guest/guest_female_fair_age16_custom04_r01_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r01-a24,guest,Female,fair,24,custom04,guest-custom04-row-01,1,3,assets/ravenwood/portraits/guest/guest_female_fair_age24_custom04_r01_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,204,335
rw-guest-custom04-r01-a30,guest,Female,fair,30,custom04,guest-custom04-row-01,1,4,assets/ravenwood/portraits/guest/guest_female_fair_age30_custom04_r01_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r01-a50,guest,Female,fair,50,custom04,guest-custom04-row-01,1,5,assets/ravenwood/portraits/guest/guest_female_fair_age50_custom04_r01_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r02-a10,guest,Male,olive,10,custom04,guest-custom04-row-02,2,1,assets/ravenwood/portraits/guest/guest_male_olive_age10_custom04_r02_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r02-a16,guest,Male,olive,16,custom04,guest-custom04-row-02,2,2,assets/ravenwood/portraits/guest/guest_male_olive_age16_custom04_r02_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r02-a24,guest,Male,olive,24,custom04,guest-custom04-row-02,2,3,assets/ravenwood/portraits/guest/guest_male_olive_age24_custom04_r02_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,204,335
rw-guest-custom04-r02-a30,guest,Male,olive,30,custom04,guest-custom04-row-02,2,4,assets/ravenwood/portraits/guest/guest_male_olive_age30_custom04_r02_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r02-a50,guest,Male,olive,50,custom04,guest-custom04-row-02,2,5,assets/ravenwood/portraits/guest/guest_male_olive_age50_custom04_r02_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r03-a10,guest,Female,black,10,custom04,guest-custom04-row-03,3,1,assets/ravenwood/portraits/guest/guest_female_black_age10_custom04_r03_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r03-a16,guest,Female,black,16,custom04,guest-custom04-row-03,3,2,assets/ravenwood/portraits/guest/guest_female_black_age16_custom04_r03_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r03-a24,guest,Female,black,24,custom04,guest-custom04-row-03,3,3,assets/ravenwood/portraits/guest/guest_female_black_age24_custom04_r03_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,204,335
rw-guest-custom04-r03-a30,guest,Female,black,30,custom04,guest-custom04-row-03,3,4,assets/ravenwood/portraits/guest/guest_female_black_age30_custom04_r03_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r03-a50,guest,Female,black,50,custom04,guest-custom04-row-03,3,5,assets/ravenwood/portraits/guest/guest_female_black_age50_custom04_r03_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r04-a10,guest,Male,eastern,10,custom04,guest-custom04-row-04,4,1,assets/ravenwood/portraits/guest/guest_male_eastern_age10_custom04_r04_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r04-a16,guest,Male,eastern,16,custom04,guest-custom04-row-04,4,2,assets/ravenwood/portraits/guest/guest_male_eastern_age16_custom04_r04_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r04-a24,guest,Male,eastern,24,custom04,guest-custom04-row-04,4,3,assets/ravenwood/portraits/guest/guest_male_eastern_age24_custom04_r04_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,204,335
rw-guest-custom04-r04-a30,guest,Male,eastern,30,custom04,guest-custom04-row-04,4,4,assets/ravenwood/portraits/guest/guest_male_eastern_age30_custom04_r04_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom04-r04-a50,guest,Male,eastern,50,custom04,guest-custom04-row-04,4,5,assets/ravenwood/portraits/guest/guest_male_eastern_age50_custom04_r04_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (5).png,205,335
rw-guest-custom05-r01-a10,guest,Female,fair,10,custom05,guest-custom05-row-01,1,1,assets/ravenwood/portraits/guest/guest_female_fair_age10_custom05_r01_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r01-a16,guest,Female,fair,16,custom05,guest-custom05-row-01,1,2,assets/ravenwood/portraits/guest/guest_female_fair_age16_custom05_r01_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r01-a24,guest,Female,fair,24,custom05,guest-custom05-row-01,1,3,assets/ravenwood/portraits/guest/guest_female_fair_age24_custom05_r01_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,204,335
rw-guest-custom05-r01-a30,guest,Female,fair,30,custom05,guest-custom05-row-01,1,4,assets/ravenwood/portraits/guest/guest_female_fair_age30_custom05_r01_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r01-a50,guest,Female,fair,50,custom05,guest-custom05-row-01,1,5,assets/ravenwood/portraits/guest/guest_female_fair_age50_custom05_r01_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r02-a10,guest,Male,olive,10,custom05,guest-custom05-row-02,2,1,assets/ravenwood/portraits/guest/guest_male_olive_age10_custom05_r02_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r02-a16,guest,Male,olive,16,custom05,guest-custom05-row-02,2,2,assets/ravenwood/portraits/guest/guest_male_olive_age16_custom05_r02_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r02-a24,guest,Male,olive,24,custom05,guest-custom05-row-02,2,3,assets/ravenwood/portraits/guest/guest_male_olive_age24_custom05_r02_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,204,335
rw-guest-custom05-r02-a30,guest,Male,olive,30,custom05,guest-custom05-row-02,2,4,assets/ravenwood/portraits/guest/guest_male_olive_age30_custom05_r02_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r02-a50,guest,Male,olive,50,custom05,guest-custom05-row-02,2,5,assets/ravenwood/portraits/guest/guest_male_olive_age50_custom05_r02_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r03-a10,guest,Female,black,10,custom05,guest-custom05-row-03,3,1,assets/ravenwood/portraits/guest/guest_female_black_age10_custom05_r03_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r03-a16,guest,Female,black,16,custom05,guest-custom05-row-03,3,2,assets/ravenwood/portraits/guest/guest_female_black_age16_custom05_r03_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r03-a24,guest,Female,black,24,custom05,guest-custom05-row-03,3,3,assets/ravenwood/portraits/guest/guest_female_black_age24_custom05_r03_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,204,335
rw-guest-custom05-r03-a30,guest,Female,black,30,custom05,guest-custom05-row-03,3,4,assets/ravenwood/portraits/guest/guest_female_black_age30_custom05_r03_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r03-a50,guest,Female,black,50,custom05,guest-custom05-row-03,3,5,assets/ravenwood/portraits/guest/guest_female_black_age50_custom05_r03_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r04-a10,guest,Male,eastern,10,custom05,guest-custom05-row-04,4,1,assets/ravenwood/portraits/guest/guest_male_eastern_age10_custom05_r04_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r04-a16,guest,Male,eastern,16,custom05,guest-custom05-row-04,4,2,assets/ravenwood/portraits/guest/guest_male_eastern_age16_custom05_r04_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r04-a24,guest,Male,eastern,24,custom05,guest-custom05-row-04,4,3,assets/ravenwood/portraits/guest/guest_male_eastern_age24_custom05_r04_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,204,335
rw-guest-custom05-r04-a30,guest,Male,eastern,30,custom05,guest-custom05-row-04,4,4,assets/ravenwood/portraits/guest/guest_male_eastern_age30_custom05_r04_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
rw-guest-custom05-r04-a50,guest,Male,eastern,50,custom05,guest-custom05-row-04,4,5,assets/ravenwood/portraits/guest/guest_male_eastern_age50_custom05_r04_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 20. 13_56_29 (6).png,205,335
